101;334628;\x8b\x4c\x15\xe0;mov ecx, dword ptr [ebp+edx*1-0x20]
102;33462c;\x81\xf1\x6e\x74\x65\x6c;xor ecx, 0x6c65746e
103;334632;\x0b\xc1;or eax, ecx
104;334634;\x75\x09;jnz 0x33463f
105;334636;\xc7\x45\xd4\x01\x00\x00\x00;mov dword ptr [ebp-0x2c], 0x1
106;33463d;\xeb\x07;jmp 0x334646
107;334646;\x8a\x55\xd4;mov dl, byte ptr [ebp-0x2c]
108;334649;\x88\x55\xdf;mov byte ptr [ebp-0x21], dl
109;33464c;\x8d\x75\xe0;lea esi, ptr [ebp-0x20]
110;33464f;\xb8\x01\x00\x00\x00;mov eax, 0x1
111;334654;\x33\xc9;xor ecx, ecx
112;334656;\x0f\xa2;cpuid 
113;334658;\x89\x06;mov dword ptr [esi], eax
114;33465a;\x89\x5e\x04;mov dword ptr [esi+0x4], ebx
115;33465d;\x89\x4e\x08;mov dword ptr [esi+0x8], ecx
116;334660;\x89\x56\x0c;mov dword ptr [esi+0xc], edx
117;334663;\xb8\x04\x00\x00\x00;mov eax, 0x4
118;334668;\x6b\xc8\x00;imul ecx, eax, 0x0
119;33466b;\x8b\x54\x0d\xe0;mov edx, dword ptr [ebp+ecx*1-0x20]
120;33466f;\x89\x55\xd8;mov dword ptr [ebp-0x28], edx
121;334672;\x0f\xb6\x45\xdf;movzx eax, byte ptr [ebp-0x21]
122;334676;\x85\xc0;test eax, eax
123;334678;\x74\x71;jz 0x3346eb
124;33467a;\x8b\x4d\xd8;mov ecx, dword ptr [ebp-0x28]
125;33467d;\x81\xe1\xf0\x3f\xff\x0f;and ecx, 0xfff3ff0
126;334683;\x81\xf9\xc0\x06\x01\x00;cmp ecx, 0x106c0
127;334689;\x74\x51;jz 0x3346dc
128;33468b;\x8b\x55\xd8;mov edx, dword ptr [ebp-0x28]
129;33468e;\x81\xe2\xf0\x3f\xff\x0f;and edx, 0xfff3ff0
130;334694;\x81\xfa\x60\x06\x02\x00;cmp edx, 0x20660
131;33469a;\x74\x40;jz 0x3346dc
132;33469c;\x8b\x45\xd8;mov eax, dword ptr [ebp-0x28]
133;33469f;\x25\xf0\x3f\xff\x0f;and eax, 0xfff3ff0
134;3346a4;\x3d\x70\x06\x02\x00;cmp eax, 0x20670
135;3346a9;\x74\x31;jz 0x3346dc
136;3346ab;\x8b\x4d\xd8;mov ecx, dword ptr [ebp-0x28]
137;3346ae;\x81\xe1\xf0\x3f\xff\x0f;and ecx, 0xfff3ff0
138;3346b4;\x81\xf9\x50\x06\x03\x00;cmp ecx, 0x30650
139;3346ba;\x74\x20;jz 0x3346dc
140;3346bc;\x8b\x55\xd8;mov edx, dword ptr [ebp-0x28]
141;3346bf;\x81\xe2\xf0\x3f\xff\x0f;and edx, 0xfff3ff0
142;3346c5;\x81\xfa\x60\x06\x03\x00;cmp edx, 0x30660
143;3346cb;\x74\x0f;jz 0x3346dc
144;3346cd;\x8b\x45\xd8;mov eax, dword ptr [ebp-0x28]
