101;194628;\x8b\x4c\x15\xe0;mov ecx, dword ptr [ebp+edx*1-0x20]
102;19462c;\x81\xf1\x6e\x74\x65\x6c;xor ecx, 0x6c65746e
103;194632;\x0b\xc1;or eax, ecx
104;194634;\x75\x09;jnz 0x19463f
105;194636;\xc7\x45\xd4\x01\x00\x00\x00;mov dword ptr [ebp-0x2c], 0x1
106;19463d;\xeb\x07;jmp 0x194646
107;194646;\x8a\x55\xd4;mov dl, byte ptr [ebp-0x2c]
108;194649;\x88\x55\xdf;mov byte ptr [ebp-0x21], dl
109;19464c;\x8d\x75\xe0;lea esi, ptr [ebp-0x20]
110;19464f;\xb8\x01\x00\x00\x00;mov eax, 0x1
111;194654;\x33\xc9;xor ecx, ecx
112;194656;\x0f\xa2;cpuid 
113;194658;\x89\x06;mov dword ptr [esi], eax
114;19465a;\x89\x5e\x04;mov dword ptr [esi+0x4], ebx
115;19465d;\x89\x4e\x08;mov dword ptr [esi+0x8], ecx
116;194660;\x89\x56\x0c;mov dword ptr [esi+0xc], edx
117;194663;\xb8\x04\x00\x00\x00;mov eax, 0x4
118;194668;\x6b\xc8\x00;imul ecx, eax, 0x0
119;19466b;\x8b\x54\x0d\xe0;mov edx, dword ptr [ebp+ecx*1-0x20]
120;19466f;\x89\x55\xd8;mov dword ptr [ebp-0x28], edx
121;194672;\x0f\xb6\x45\xdf;movzx eax, byte ptr [ebp-0x21]
122;194676;\x85\xc0;test eax, eax
123;194678;\x74\x71;jz 0x1946eb
124;19467a;\x8b\x4d\xd8;mov ecx, dword ptr [ebp-0x28]
125;19467d;\x81\xe1\xf0\x3f\xff\x0f;and ecx, 0xfff3ff0
126;194683;\x81\xf9\xc0\x06\x01\x00;cmp ecx, 0x106c0
127;194689;\x74\x51;jz 0x1946dc
128;19468b;\x8b\x55\xd8;mov edx, dword ptr [ebp-0x28]
129;19468e;\x81\xe2\xf0\x3f\xff\x0f;and edx, 0xfff3ff0
130;194694;\x81\xfa\x60\x06\x02\x00;cmp edx, 0x20660
131;19469a;\x74\x40;jz 0x1946dc
132;19469c;\x8b\x45\xd8;mov eax, dword ptr [ebp-0x28]
133;19469f;\x25\xf0\x3f\xff\x0f;and eax, 0xfff3ff0
134;1946a4;\x3d\x70\x06\x02\x00;cmp eax, 0x20670
135;1946a9;\x74\x31;jz 0x1946dc
136;1946ab;\x8b\x4d\xd8;mov ecx, dword ptr [ebp-0x28]
137;1946ae;\x81\xe1\xf0\x3f\xff\x0f;and ecx, 0xfff3ff0
138;1946b4;\x81\xf9\x50\x06\x03\x00;cmp ecx, 0x30650
139;1946ba;\x74\x20;jz 0x1946dc
140;1946bc;\x8b\x55\xd8;mov edx, dword ptr [ebp-0x28]
141;1946bf;\x81\xe2\xf0\x3f\xff\x0f;and edx, 0xfff3ff0
142;1946c5;\x81\xfa\x60\x06\x03\x00;cmp edx, 0x30660
143;1946cb;\x74\x0f;jz 0x1946dc
144;1946cd;\x8b\x45\xd8;mov eax, dword ptr [ebp-0x28]
145;1946d0;\x25\xf0\x3f\xff\x0f;and eax, 0xfff3ff0
146;1946d5;\x3d\x70\x06\x03\x00;cmp eax, 0x30670
147;1946da;\x75\x0f;jnz 0x1946eb
148;1946eb;\xba\x04\x00\x00\x00;mov edx, 0x4
149;1946f0;\x6b\xc2\x03;imul eax, edx, 0x3
150;1946f3;\xb9\x04\x00\x00\x00;mov ecx, 0x4
151;1946f8;\x6b\xd1\x00;imul edx, ecx, 0x0
152;1946fb;\x8b\x44\x05\xe0;mov eax, dword ptr [ebp+eax*1-0x20]
153;1946ff;\x89\x44\x15\xf0;mov dword ptr [ebp+edx*1-0x10], eax
154;194703;\xb9\x04\x00\x00\x00;mov ecx, 0x4
155;194708;\xd1\xe1;shl ecx, 0x1
