0;1341046;\xe9\x35\x11\x00\x00;jmp 0x1342180
1;1342180;\x55;push ebp
2;1342181;\x8b\xec;mov ebp, esp
3;1342183;\xe8\xd8\xfc\xff\xff;call 0x1341e60
4;1341e60;\x55;push ebp
5;1341e61;\x8b\xec;mov ebp, esp
6;1341e63;\xe8\x8c\xf3\xff\xff;call 0x13411f4
7;13411f4;\xe9\x77\x22\x00\x00;jmp 0x1343470
8;1343470;\x55;push ebp
9;1343471;\x8b\xec;mov ebp, esp
10;1343473;\x83\xec\x14;sub esp, 0x14
11;1343476;\xc7\x45\xf4\x00\x00\x00\x00;mov dword ptr [ebp-0xc], 0x0
12;134347d;\xc7\x45\xf8\x00\x00\x00\x00;mov dword ptr [ebp-0x8], 0x0
13;1343484;\x81\x3d\x24\x90\x34\x01\x4e\xe6\x40\xbb;cmp dword ptr [0x1349024], 0xbb40e64e
14;134348e;\x74\x1f;jz 0x13434af
15;1343490;\xa1\x24\x90\x34\x01;mov eax, dword ptr [0x1349024]
16;1343495;\x25\x00\x00\xff\xff;and eax, 0xffff0000
17;134349a;\x74\x13;jz 0x13434af
18;134349c;\x8b\x0d\x24\x90\x34\x01;mov ecx, dword ptr [0x1349024]
19;13434a2;\xf7\xd1;not ecx
20;13434a4;\x89\x0d\x20\x90\x34\x01;mov dword ptr [0x1349020], ecx
21;13434aa;\xe9\x9a\x00\x00\x00;jmp 0x1343549
22;1343549;\x8b\xe5;mov esp, ebp
23;134354b;\x5d;pop ebp
24;134354c;\xc3;ret 
25;1341e68;\xe8\x13\x00\x00\x00;call 0x1341e80
26;1341e80;\x55;push ebp
27;1341e81;\x8b\xec;mov ebp, esp
28;1341e83;\x6a\xfe;push 0xfffffffe
29;1341e85;\x68\x88\x7e\x34\x01;push 0x1347e88
30;1341e8a;\x68\x30\x3b\x34\x01;push 0x1343b30
31;1341e8f;\x64\xa1\x00\x00\x00\x00;mov eax, dword ptr fs:[0x0]
32;1341e95;\x50;push eax
33;1341e96;\x83\xc4\xd0;add esp, 0xffffffd0
34;1341e99;\x53;push ebx
35;1341e9a;\x56;push esi
36;1341e9b;\x57;push edi
37;1341e9c;\xa1\x24\x90\x34\x01;mov eax, dword ptr [0x1349024]
38;1341ea1;\x31\x45\xf8;xor dword ptr [ebp-0x8], eax
39;1341ea4;\x33\xc5;xor eax, ebp
40;1341ea6;\x50;push eax
41;1341ea7;\x8d\x45\xf0;lea eax, ptr [ebp-0x10]
42;1341eaa;\x64\xa3\x00\x00\x00\x00;mov dword ptr fs:[0x0], eax
43;1341eb0;\x89\x65\xe8;mov dword ptr [ebp-0x18], esp
44;1341eb3;\x6a\x01;push 0x1
45;1341eb5;\xe8\xc6\xf3\xff\xff;call 0x1341280
46;1341280;\xe9\x5b\x1d\x00\x00;jmp 0x1342fe0
47;1342fe0;\x55;push ebp
48;1342fe1;\x8b\xec;mov ebp, esp
49;1342fe3;\x83\x7d\x08\x00;cmp dword ptr [ebp+0x8], 0x0
